,sentenca,palavras_chave,resultado
26,temos uma grande quantidade de serragem e aparas de madeiras queremos eliminar estes subprodutos em fabricacao de telhas onduladas utilizando destes materiais procuramos tecnologia e produtos resinas e aglutinantes que reduzam o risco de fogo,padrão formulário identificação técnico,processo água água água
27,regeneracao de resina de troca ionica,resina água troca sintética,processo água água água
28,sou rt de uma empresa que processa desmineralizacao de agua esta quer que eu monte uma unidade de regeneracao para otimizacao do processo e educao de custos,resina água troca sintética,processo água água água
29,beneficiamento do mamao papaia,abacaxi mamão enzima vitro,processo água água água
30,produzimos mamao desde comercializamos em todo o brasil e no exterior devido a instabilidade de precos ocorridos no mercado interno e a valorizacao do real frente ao euro e dolar esta prejudicando muito nossa empresa a bello esta buscando divercificar seu trabalho percebendo entao que temos um produto nas semanas do ano e sabemos um pouco de seus derivados gostariamos muito e precisamos de um trabalho para implementar nosso ramos de negocios,abacaxi mamão enzima vitro,processo água água água
31,hidroponia forrageira,sistema solução convencional cultivo,processo água água água
32,procedimentos para cultivo da hidroponia forrageira o valor aproximadamente investido,sistema solução convencional cultivo,processo água água água
33,diluicao de solucoes de peroxido de hidrogenio,oxigênio hidrogênio oxidação peróxido,processo água água água
34,desconheco o significado dos volumes no peroxido de hidrogenio fato que dificultou para eu procedece o fracionamento deste produto assim venho solicitar ajuda para resolver o seguinte problema meu fornecedor vende bombonas de de e volumeseu preciso fracionar este produto em frascos de litro a volumes e citar ainda no rotulo cada ml contem xmg de e nao sei como fazer se voces puderem me ajudar desde ja antecipo meus agradecimentos,oxigênio hidrogênio oxidação peróxido,processo água água água
35,fabricacao de aveia em flocos e granola,silicone banana bananeira cupuaçu,processo água água água
36,quero saber como se faz flocos de aveia branca e granola maquinas e equipamentos que eu preciso ter para produzir um produtop de qualidade para producao e comercializacao e exportacao,silicone banana bananeira cupuaçu,processo água água água
37,agua deionizada,resina água troca sintética,processo água fabricação água
38,preciso saber qual a melhor forma de se sanitizar resinas ionicas de aparelho de desmineralizacao capacidade do aparelho producao de,resina água troca sintética,processo água água água
39,cola fenolica e cola branca,cola adesivo colagem colar,processo água fabricação água
40,gostaria de produzir cola branca e cola fenolica em escala industrial para colagem de compensado compensado resinado e madeirite,cola adesivo colagem colar,processo água água água
41,adesivos aplicados na colagem de moveis,cola adesivo colagem colar,processo água fabricação água
42,quais os tipos de resinas usadas para esta qual as especificacoes fisicoquimico e aplicativo para esta maior qual o tipo de madeira mais comum para esta aplicacao,cola adesivo colagem colar,processo água água água
43,oleos essenciais para fins de oleos corporais e reciclagem de oleos usado em oleos lubrificantes,óleos viscosidade voláteis fluidez,processo água água água
44,oleos,óleos viscosidade voláteis fluidez,processo água água água
45,processo de osmose reversa,resina água troca sintética,processo água água água
46,agua tratada pelo processo de osmose reversa pode ser usada diretamente como agua de ph na minha empresa tinhamos um destilador e usavamos essa agua para preparar solucoes de naoh hcl entre outras solucoes estas usadas em analises de rotina de laboratorio para fazer analise de ph ferviamos a agua destilada e ajustavamos o ph da mesma para agora compramos um equipamento de osmose reversa e gostariamos de saber se podemos usar essa agua desmineralizada para continuar a preparar as solucoes ou se teremos que continuar fervendo essa agua para realizar analises de ph,resina água troca sintética,processo água fabricação água
47,regeneracao da resina de troca ionica,resina água troca sintética,processo água água água
48,ola gostaria de saber como devo fazer para medir a quantidade de resina de uma coluna deionizadorae se devo fazelo com a resina seca ou umida pois tenho deionizadores e estou fazendo a regeneracao das mesmas mas tenho problemas para medir as resinas no caso anionicas e cationicas qualo peso em referenecia por litro de resina ja separadas obs ja tenho processode regeneracao com acidosodatambem gostaria de saber como descartar os liquidos desse processoem relacao ao meio ambiente,resina água troca sintética,processo água água água
49,nan,cola adesivo colagem colar,processo água água água
50,procedimento para colar tubo de aluminio com um tubo de pvc,cola adesivo colagem colar,processo água água água
51,preciso lixar molduras de formas diferentes tanto em mdf cru como com primer vi as lixadeiras fladder ha muito tempo em uma feira agra so encontrei o site da fladder na dinamarca gostaria de saber se existem fornecedores desse material no brasil,produtos produto mercado indústria,processo água água água
52,nan,acrílico digital laser design,processo água água água
53,tendo em vista a prestacao de servico na area de producao de video a varios anos com clientela a contentosolicitamos e vos se possivel informacoes sobre a edicao e a producao d dvds bem como a configuracao pecas e programas adequados para um computador paa a realizacao do trabalho completoe tambem a indicacao de se ha na capital do parana local de treinamento na mesma areano aguado de repostas desde ja agradecoatenciosamente sebastiao de mello,acrílico digital laser design,processo água água água
54,utilizacao do acido cloridrico para producao de resina cationica,resina água troca sintética,processo água água água
55,gostaria de saber como se faz a regeneracao da resina cationica e qual o percentual de acido a ser usado e qual localpara adiquirir,resina água troca sintética,processo água água água
56,nan,padrão formulário identificação técnico,processo água água água
57,como e o que preciso fazer para exportar biquinis para o exterior principalmente estados unidos,padrão formulário identificação técnico,processo água fabricação água
58,resina epoxi,tempo cura reação epóxi,processo água água água
59,gostaria de informacoes sobre como fabricar resina epoxi,tempo cura reação epóxi,processo água água água
60,nan,fábrica mineral mesa envase,processo água água água
61,gostaria de saber sobre os rotulos sleeves rotulos termo encolhiveis e o maquinario utilizado para rotular os produtos,fábrica mineral mesa envase,processo água água água
62,colas industriais,cola adesivo colagem colar,processo água fabricação água
63,fabricacao de cola industrial,cola adesivo colagem colar,processo água água água
64,extracao de azeite de oliva,azeite oliva virgem extra,processo água fabricação água
65,gostaria de ter informacoes sobre o processo de extracao de azeite de oliva e indicacao de fornecedores de equipamentos,azeite oliva virgem extra,processo água água água
66,peroxido de carbamida,oxigênio hidrogênio oxidação peróxido,processo água água água
67,pretendo testar varias tecnicas de obtencao do peroxido de carbamida e incorporalo em gel de carbopol para verificar qual sera mais estavel,oxigênio hidrogênio oxidação peróxido,processo água água água
68,nan,resina água troca sintética,processo água água água
69,gostaria de saber sobre metodos para desinfecao da coluna mista de deionizacao de maneira que nao comprometa a capacidade de deionizacao,resina água troca sintética,processo água água água
70,fabricacao de colchoes de mola,espuma poliuretano gelo refrigeração,processo água água água
71,nan,desidratação enxertia liofilização gema,processo água água água
72,gostaria de obter informacoes sobre o processo de liofilizacao,desidratação enxertia liofilização gema,processo água água água
73,nan,resina água troca sintética,processo água água água
74,gostaria de saber qual o tipo de agua que deve ser utilizada na fabricacao de domissanitarios como detergentes agua sanitaria produtos de limpeza geral e amaciantes,resina água troca sintética,processo água água água
75,nan,cola adesivo colagem colar,processo água água água
76,gostaria de saber sobre o colar tipico havaiano,cola adesivo colagem colar,processo água água água
77,gelo seco,espuma poliuretano gelo refrigeração,processo água água água
78,gelo seco,espuma poliuretano gelo refrigeração,processo água água água
79,piso antiderrapante para academias de ginastica,produtos produto mercado indústria,processo água água água
80,solicita informacoes referentes aos pisos antiderrapantes utilizados em academias de ginastica alem de relacao de fornecedores desses produtos,produtos produto mercado indústria,processo água água água
81,extrato glicolico de plantas medicinais,uso medicinais farmácia medicinal,processo água fabricação água
82,boa noitevoces poderiam me informar a diferenca entre extrato glicolico e tinturaobrigadaeliane,uso medicinais farmácia medicinal,processo água água água
83,massa alimenticia,massa alimentícia macarrão fresca,processo água água água
84,gostaria de saber sobre massas alimenticias quais sao os tipos e quais os processos de fabricacaoobrigada,massa alimentícia macarrão fresca,processo água água água
85,radio amador,montagem bicicleta comunicação rádio,processo água água água
86,quais os melhores equipamentos para comecar no radioamadorismo vou fazer o exame no labre para obter habilitacao de utilizacao para classe c gostaria de saber sobre equipamento portatil para uso em deslocamento e fixo para uso em casa sei que alguns equipamentos tem restricao de faixa de frequencia mas nao tenho preferencia por uma faixa em particular nao sei se existe alguma faixa que seria melhor para comecar,montagem bicicleta comunicação rádio,processo água água água
87,gostaria de saber que tipo de tinta e solvente posso usar parapintar brinquedos em poliestireno,isopor isolamento térmico poliestireno,processo água água água
88,aplicacao de tinta epoxi,tempo cura reação epóxi,processo água fabricação água
89,qual e o processo de aplicacao de pintura epoxi,tempo cura reação epóxi,processo água água água
90,enxerto em frutiferas,desidratação enxertia liofilização gema,processo água fabricação água
91,sobre a enxertia em plantas frutiferas quais as plantas mais usadas para esta pratica quala a tecnica empregada neste processo quero direcionala para laranja limaodoce limao azedo e caju,desidratação enxertia liofilização gema,processo água água água
92,fabricacao de bandeiras,tecido tnt fabricação nãotecido,processo água água água
93,fabricacao de bandeiras tecidos maquinas necessarias linha,tecido tnt fabricação nãotecido,processo água água água
94,aglutinante para eps,isopor isolamento térmico poliestireno,processo água fabricação água
95,ha algum aglutinante que aplicado ao isopor moido possa transformalo em molde ou peca,isopor isolamento térmico poliestireno,processo água água água
96,material a ser expandido na confeccao de assentos automotivos,espuma poliuretano gelo refrigeração,processo água água água
97,qual e o material a expandir para fazer espuma de bancosmotocarrosei q e um bicomponente,espuma poliuretano gelo refrigeração,processo água água água
98,reciclagem de fitas vhs,goma fita som gravação,processo água água água
99,gostaria de saber qual a composicao das fitas vhs se sao reaproveitaveis e como posso reaproveitalas,goma fita som gravação,processo água água água
100,corte a laser,acrílico digital laser design,processo água fabricação água
101,gostaria de saber informacoes sobre empresas de corte a laser em madeiras para producao de artefatos,acrílico digital laser design,processo água água água
102,design grafico,acrílico digital laser design,processo água água água
103,tenho pesquisado em como anda o mercado de design grafico e animacao porem nao ha muitas reportagens a respeito como posso chegar ate esse mercado,acrílico digital laser design,processo água água água
104,ouro,pasta ouro polimento abrasivo,processo água água água
105,como saber se uma joia e mesmo de ouro,pasta ouro polimento abrasivo,processo água fabricação água
106,celular,montagem bicicleta comunicação rádio,processo água fabricação água
107,preciso de informacoes sobre telefonia celular,montagem bicicleta comunicação rádio,processo água água água
108,biomassa da banana,silicone banana bananeira cupuaçu,processo água água água
109,solicito informacoes sobre a bio massa da banana na industria alimenticia,silicone banana bananeira cupuaçu,processo água água água
110,adesivos,cola adesivo colagem colar,processo água fabricação água
111,gostaria de saber que tipo de adesivo posso utilizar para colar nylon e para colar aco,cola adesivo colagem colar,processo água água água
112,cola de contato para elastomero termoplastico,cola adesivo colagem colar,processo água fabricação água
113,quais as informacoes sobre colas de contato para elastomeros termoplasticos tpes,cola adesivo colagem colar,processo água água água
114,incrustacao em geradores de vapor,resina água troca sintética,processo água água água
115,como se forma a dureza permanente em geradores de vapor o que devo fazer para eliminar este contaminante qual o melhor tipo de dispersante indicado para o tratamento,resina água troca sintética,processo água fabricação água
116,peroxido de hidrogenio no leite,oxigênio hidrogênio oxidação peróxido,processo água água água
117,o que ocorre com o peroxido de hidrogenio no leite ha formacao de outros compostos,oxigênio hidrogênio oxidação peróxido,processo água água água
118,inseminacao em gado bovino,coleta artificial veterinário inseminação,processo água água água
119,como funciona a inseminacao artificial a inseminacao com semen sexado e a transferencia de embrioes em gado bovino,coleta artificial veterinário inseminação,processo água fabricação água
120,transmissao por radio frequencia,montagem bicicleta comunicação rádio,processo água água água
121,qual a diferenca entre wireless bluetooth e radio frequencia quais as principais caracteristicas de funcionamento da transmissao por radio frequencia principais dificuldades para o uso ruidos interferencias distancias etc existe protecao mercadologica patentes royalts quanto ao uso desta tecnologia,montagem bicicleta comunicação rádio,processo água água água
122,base para amaciante,roupa amaciante toque maciez,processo água água água
123,faco uso de uma base de amaciante que depois de pronto quando diluido na agua faz muita espuma e as roupas nao ficam macias por quecomposicao praepagem wb alc quaternario de amonio,roupa amaciante toque maciez,processo água água água
124,cola a base de nitrocelulose,base solvente esmalte unhas,processo água fabricação água
125,como funciona a secagem de cola a base de nitrocelulose dissolvida em acetona quais sao os insumos utilizados na producao deste produto para ser aplicado na colagem de madeira,base solvente esmalte unhas,processo água fabricação água
126,escola infantil,escola educação livro infantil,processo água fabricação água
127,sobre leis de estrutuacao de uma escola infantil burocracia quanto a estrutura fisica e legal,escola educação livro infantil,processo água água água
128,salao de beleza,produtos produto mercado indústria,processo água água água
129,estou montando um salao de beleza e quero informacaoes de mobiliarios e produtos de beleza,produtos produto mercado indústria,processo água fabricação água
130,utilizacao do chapisco sobre isopor em lajes da construcao civil,isopor isolamento térmico poliestireno,processo água água água
131,como fazer chapisco em isopor,isopor isolamento térmico poliestireno,processo água fabricação água
132,fabricacao de chocolate personalizado,produtos produto mercado indústria,processo água água água
133,como fabricar chocolates personalizados,produtos produto mercado indústria,processo água fabricação água
134,sistema de isolamento acustico,isopor isolamento térmico poliestireno,processo água água água
135,qual o sistema de isolamento acustico para casa de maquina de elevadores residenciais,isopor isolamento térmico poliestireno,processo água água água
136,contaminante em azeite de oliva,azeite oliva virgem extra,processo água fabricação água
137,perigos quimicos ebiologicos existentes na producao de azeites e de azeite acrescido de oleo de soja,azeite oliva virgem extra,processo água água água
138,metodos de analise de peroxido de hidrogenio,oxigênio hidrogênio oxidação peróxido,processo água água água
139,metodos de analise do indice de peroxido de hidrogenio,oxigênio hidrogênio oxidação peróxido,processo água água água
140,cola tenaz,cola adesivo colagem colar,processo água fabricação água
141,existe fornecedores dos produtos persulfato de amonio acetato de vinila e alcool polivinilico no estado da bahiafornecedores de outros estados,cola adesivo colagem colar,processo água fabricação água
142,estabilizacao a frio a babosa,corpo vera dilatação aloe,processo água fabricação água
143,gostaria de receber informacoes sobre como fabricar suco de babosa aloe vera com processamento e metadologia de industrializacao e estabilizacao a frioquais os equipamentos necessarios e indicacao de consultores e fornecedores de equipamentos e mudas,corpo vera dilatação aloe,processo água água água
144,colagem de chapas acrilicas,cola adesivo colagem colar,processo água fabricação água
145,como fazer para colar pecas acrilicas quais sao as tecnicas empregadas neste processo,cola adesivo colagem colar,processo água fabricação água
146,jabuticaba,desidratação enxertia liofilização gema,processo água água água
147,gostaria de saber informacoes sobre propagacao por sementes de jabuticaba,desidratação enxertia liofilização gema,processo água água água
148,calendula,uso medicinais farmácia medicinal,processo água fabricação água
149,como se da o processo de producao do extrato de calendula,uso medicinais farmácia medicinal,processo água fabricação água
150,massa do talharim,massa alimentícia macarrão fresca,processo água água água
151,tenho uma pequena fabrica de massa caseira porem estou tendo dificuldades na qualidade do produto o talharim por exemplo vez ou outra acontece de ficar todo quebrado durante o cozimento so durante o cozimento e sempre se usa os mesmos ingredientes e processo o mesmo nao acontece com a lasanha,massa alimentícia macarrão fresca,processo água água água
152,cedro naval,cola adesivo colagem colar,processo água fabricação água
153,utilizo madeira cedro naval para fabricacao de um produto que tem contato com peixe in natura ocorre que se deixo esse produto por algum tempo na agua ela fica vermelha deve ser a resina fenolica que provoce isso pergunto esse liquido vermelho e prejudicial a saude,cola adesivo colagem colar,processo água água água
154,sabao de banana,silicone banana bananeira cupuaçu,processo água água água
155,como fazer sabonetesabao de banana utilizando a massa da banana o maximo possivelou sejao mais natural possivel,silicone banana bananeira cupuaçu,processo água fabricação água
156,separacao de fases em tintas acrilicas e semibrilho,separação fases centrífuga flotação,processo água água água
157,quais os possiveis motivos que levam tintas acrilicas acetinadas e semibrilho apresentarem separacao de fases,separação fases centrífuga flotação,processo água água água
158,pilares de eucalipto,fundação contenção bacia projeto,processo água água água
159,como fazer a fundacao adequada para pilares de eucalipto,fundação contenção bacia projeto,processo água fabricação água
160,gravacao,goma fita som gravação,processo água água água
161,informacoes sobre tipos de gravacao,goma fita som gravação,processo água água água
162,corte de chapas de mdf,acrílico digital laser design,processo água fabricação água
163,necessito adquirir um canhao laser para corte de chapas de mdf e gostaria de saber onde posso compralo quais os tipos de laser que existem para essa finalidade e qual a potencia indicada para chapas ate de espessura,acrílico digital laser design,processo água água água
164,lamina de poliuretano expandido,espuma poliuretano gelo refrigeração,processo água água água
165,quais as informacoes existentes sobre laminas de poliuretano expandido revestido com fibra de vidro,espuma poliuretano gelo refrigeração,processo água água água
166,cupuacu,silicone banana bananeira cupuaçu,processo água fabricação água
167,tenho um cupuacuzeiro no quintal de minha casa de anos de idade e apesar de ter umadensa floracao nao frutifica junto com ele existem outras arvores como mangueira cajueirogoiabeira e gravioleira sendo que estas frutificam normalmente o que estaria faltando para ocupuacuzeiro produzir,silicone banana bananeira cupuaçu,processo água água água
168,aplicacao de poliuretano em calcados,espuma poliuretano gelo refrigeração,processo água fabricação água
169,quais sao as variedades existentes de espuma de memoria poliuretano flexivel utilizadas para fabricacao de solados e palmilhas de calcados e suas especificacoes qual a densidade da espuma de poliuretano flexivel para aplicacao em calcados existe alguma norma ou regulamentacao para este material e sua aplicacao em calcados gostaria de saber se existe algum centro de estudos sobre tecnologia de calcados no parana a minha empresa tem a intencao de adquirir uma maquina de injecao de solados de borracha se possivel gostaria de indicacoes de onde encontrar informacoes sobre este tipo de maquina ou indicacoes de quem contatar para obter mais informacoes ou mesmo indicacao de empresa de consultoria neste ramo,espuma poliuretano gelo refrigeração,processo água água água
170,concentracao quimica,resina água troca sintética,processo água fabricação água
171,qual seria a melhor concentracao de hcl e naoh para realizacao da regeneracao das resinas cationica e anionica respectivamente utilizadas para obtencao de agua deionizada para industria farmaceutica,resina água troca sintética,processo água água água
172,biscoito cream cracker,validade prazo biscoito noz,processo água água água
173,cozimento de biscoito cream cracker,validade prazo biscoito noz,processo água fabricação água
174,perda de forma de isopor,isopor isolamento térmico poliestireno,processo água água água
175,gostaria de saber a temperatura maxima a que pode ser submetido o isopor sem que ocorram mudancas de suas caracteristicas ou queima que material leve suporta ate de temperatura,isopor isolamento térmico poliestireno,processo água água água
176,informcoes sobre riscos do peroxido de hidrogenio,oxigênio hidrogênio oxidação peróxido,processo água água água
177,qual os limites de concentracao do peroxido de hidrogenio para uma manipulacao ou uso desta substancia com seguranca,oxigênio hidrogênio oxidação peróxido,processo água água água
178,balanco de massa,massa alimentícia macarrão fresca,processo água água água
179,necessito do balanco de massa do processo de obtencao de pasta de celulose da industria de papel e celulosepara carcterizacao do residuo deste processo,massa alimentícia macarrão fresca,processo água água água
180,gostaria de saber a distancia minima a ser respeitada na construcao de diversos pocos artesianos,saúde contaminação poço grupo,processo água água água
181,agua mineral natural,saúde contaminação poço grupo,processo água fabricação água
182,gostaria de obter informacoes sobre as caracteristicas microbiologicas e o metodo de determinacao para clostridios sulfito redutores em agua mineral natural,saúde contaminação poço grupo,processo água água água
183,babosa,corpo vera dilatação aloe,processo água água água
184,gostaria de saber informacoes sobre o processo de producao da babosa em gel e em po,corpo vera dilatação aloe,processo água água água
185,a partir de quanto tempo apos a fabricacao o bloco de concreto pode ficar exposto aos raios solares sem que prejudique sua qualidade,concreto cimento impermeabilizante traço,processo água fabricação água
186,cura do concreto,concreto cimento impermeabilizante traço,processo água fabricação água
187,informacoes sobre tempo de cura do concreto,concreto cimento impermeabilizante traço,processo água água água
188,breu e terebintina,goma fita som gravação,processo água água água
189,processos de fabricacao de breu e terebintina de origem vegetal do pinus equipamentos necessarios na industria desses produtos uso e aplicacao do breu e terebintina nas industrias,goma fita som gravação,processo água água água
190,terebintina vegetal,goma fita som gravação,processo água água água
191,processos quimicos de obtencao da terebintina vegetal de pinus a partir da goma resina aplicacoes na industria quimica alfapineno betapineno obtencao de oleo de pinho terpenoides,goma fita som gravação,processo água água água
192,corte de tecido a laser,acrílico digital laser design,processo água fabricação água
193,necessito de informacoes a respeito do processo de corte de tecidos a laser e empresas que prestam este tipo de servico,acrílico digital laser design,processo água água água
194,efeito weissenberg,força movimento chave anel,processo água fabricação água
195,informacoes sobre o efeito weissenberg em solucao de borracha,força movimento chave anel,processo água água água
196,producao de baby leaf,tomate conserva cebola seco,processo água água água
197,como produzir folhas tipo babyleaf,tomate conserva cebola seco,processo água fabricação água
198,hidroponia de plantas medicinais ou aromaticas,sistema solução convencional cultivo,processo água água água
199,e viavel produzir comercialmente por hidroponia area disponivel e pequena hectare alguma planta medicinal ou aromatica,sistema solução convencional cultivo,processo água fabricação água
200,resina epoxi,tempo cura reação epóxi,processo água água água
201,senhoresestou procurando um fornecedor em pequena escala de resina epoxi monocomponente porem apesar de minha busca nao encontreipergunto haveria algum processo quimico para transformar a resina epoxi bicomponente em monocomponenteo motivo e eliminar o pottime curando a resina em uma temperatura de c sem a adicao ou uso de catalisadoresgrato,tempo cura reação epóxi,processo água água água
202,fabricacao de ferrolho,força movimento chave anel,processo água água água
203,como fabricar ferrolhos,força movimento chave anel,processo água fabricação água
204,tronco de contencao,fundação contenção bacia projeto,processo água água água
205,gostaria de saber como posso construir de forma simples e funcional na minha propriedade um tronco de contencao para boi visto que os industrializaos sao caros demais e inviaveis para o pequeno produtor gostaria de saber medidas como da pescoveira tamanho ideal de largura e comprimento e outros dados necessarios para a construcao,fundação contenção bacia projeto,processo água água água
206,enxertia em videira,desidratação enxertia liofilização gema,processo água fabricação água
207,como e o processo de enxertia em videiras,desidratação enxertia liofilização gema,processo água fabricação água
208,compostos com mel,extrato própolis lençol raiz,processo água fabricação água
209,gostaria de saber como fabricar aquele composto para melcomo e extraido aqueles estratos que sao misturadosque quantidade deve ser usada para cada misturaex mel com propolis mel com agriao mel com eucalipto,extrato própolis lençol raiz,processo água água água
210,chips de gesso,pasta ouro polimento abrasivo,processo água fabricação água
211,tenho uma fundicao de fivelas e uso o vibroacabamento para retirar rebarba e dar polimento nas fivelas para o vibroacabamento uso chips de gesso gostaria de saber como se faz os chips,pasta ouro polimento abrasivo,processo água água água
212,traste de violao,goma fita som gravação,processo água água água
213,to tentando colocar trastes novos no meu violao e estou encontrando uma certa dificuldadeos trastes nao estao fcando bem encaixados alguns ficaram soltos e estao desnivelados e isto nao pode acontecer o negocio parece tao simples mas nao ersaja pacienciarso que eu posso fazer para deixalos bem presos no braco do violao bem nivelados para que nao ocorra trastejamento e com o formato arredondado ja que pelo o que eu estou vendo vou precisar passar uma lima ou uma tal pedra de carburundum para deixalos nivelados entre si e isto vai tirar o formato arredondado da parte de cima onde se tem e contato com as cordas que ferramentas devo utilizar e como utilizalas obrigado,goma fita som gravação,processo água água água
214,desmineralizadores de agua,resina água troca sintética,processo água água água
215,so bre tratamento de agua desmineralizacao da agua porque apos o processo de regeneracao o ph do sistema fica baixo por que isso acontece e quais procedimentos a seguir,resina água troca sintética,processo água água água
216,alvejamento de tecidos com peroxido de hidrogenio agua oxigenada,oxigênio hidrogênio oxidação peróxido,processo água fabricação água
217,como alvejar tecidos coloridos e brancos com peroxidoem uma maquina de lavar de quantos gramas ml de peroxido qual a temperatua e tempo o que fazer pode alvejar roupas de corgratomarcio,oxigênio hidrogênio oxidação peróxido,processo água fabricação água
218,gostaria de saber quais sao os tipos de temperosquais as funcoes dos temperos producao consumodados de producao consumo nacionalingredientes e aditivoscaracteristicas,alho essencial limão aroma,processo água água água
219,maquina de macarrao,massa alimentícia macarrão fresca,processo água água água
220,gostaria de saber sobre limpeza de maquina para fabricacao de macarrao,massa alimentícia macarrão fresca,processo água água água
221,chapisco,revestimento reboco green chapisco,processo água fabricação água
222,gostaria de saber como se faz chapisco como deve ser aplicado e como preparar a massa,revestimento reboco green chapisco,processo água água água
223,poliestireno expandido,isopor isolamento térmico poliestireno,processo água água água
224,qual a relacao de bolinhas de isopor do tipo perola ex um equivale a quantos kilos de bolinhas,isopor isolamento térmico poliestireno,processo água água água
225,reaproveitamento de residuo de poliuretano pu,espuma poliuretano gelo refrigeração,processo água água água
226,a espuma usada na fabicacao de colchoes e considerada de acordo com abnt nbr versao um residuo classe ii a nao inertes e a legislacao fala de aterro industrial ou controlado ou sejacontratando uma empresa para coleta deste material em questao e o transportando a um aterro adequado resolvo o problema porem gostaria de saber se ha uma solucao tecnica como uma segunda ou terceira alternativa por exemplo reutilizacao pela propria fabrica venda para algum segmento que utilize borra de espuma tratamento quimico etc gostaria de um apoio nesta pesquisa estou a procurar esta segunda alternativa gostaria de nao ter que depositar este residuo no aterro obrigado pela atencao fico no aguardo leonardo,espuma poliuretano gelo refrigeração,processo água fabricação água
227,tintura e tinturamae,uso medicinais farmácia medicinal,processo água água água
228,qual a diferenca entre tintura e tinturamaequal o metodo para se obterem as duas,uso medicinais farmácia medicinal,processo água água água
229,gostaria de saber sobre reciclagem de coco e subprodutos,coco casca verde beneficiamento,processo água água água
230,flores e plantas para jardins,rosa jardim paisagismo baru,processo água água água
231,quais as flores e plantas que podem ser utilizadas em jardins de inverno e em jardins externos,rosa jardim paisagismo baru,processo água água água
232,po da casca do coco verde,coco casca verde beneficiamento,processo água água água
233,eu ja produzo substrato de coco verde po de casca porem gostaria de saber qual e o momento que posso identificar que o substrato esta pronto para a venda ja que logo apos sua producao ele entra em fermentacao,coco casca verde beneficiamento,processo água fabricação água
234,fornecedores de plantas medicinais,uso medicinais farmácia medicinal,processo água água água
235,gostaria de obter informacoes sobre processamento formas de apresentacao dos derivados metodos para a extracao e fornecedores de plantas medicinais,uso medicinais farmácia medicinal,processo água água água
236,fabricacao de amaciante para roupas a quente e a frio,roupa amaciante toque maciez,processo água água água
237,qual a diferenca em questao de reagentes e qualidade do produto final entre producao de amaciante de roupas a frio e a quente como realizar cada um dos processos qual o efeito da associacao de alcool cetoestearilico com o quaternario de amonio,roupa amaciante toque maciez,processo água água água
238,reciclagem de terra fuller,oxigênio hidrogênio oxidação peróxido,processo água água água
239,ha alguma possibilidade de reaproveitamento de terra fuller argila resultante dobranqueamento de sebo bovino existe alguma outra forma para clarificacao de sebo bovinosenao por filtro prensaterra fuller,oxigênio hidrogênio oxidação peróxido,processo água água água
240,enxaguante bucal,alho essencial limão aroma,processo água fabricação água
